146, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
147, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
148, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
149, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
150, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
151, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
152, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
153, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
154, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
155, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
156, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
157, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
158, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
159, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
160, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
161, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
162, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
163, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
164, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
165, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
166, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
167, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
168, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
169, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
170, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
171, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
172, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
173, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
174, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
175, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
176, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
177, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
178, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
179, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
180, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
181, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
182, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
183, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
184, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
185, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
186, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
187, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
188, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
189, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
190, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
191, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
192, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
193, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
194, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
195, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
196, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
197, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
198, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
199, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
200, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
201, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
202, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
203, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
204, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
205, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
206, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
207, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
208, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
209, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
210, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
211, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
212, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
213, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
214, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
215, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
216, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
217, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
218, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
219, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
220, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
221, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
222, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
223, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
224, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
225, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
226, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
227, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
228, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
229, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
230, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
231, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
232, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
233, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
234, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
235, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
236, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
237, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
238, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
239, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
240, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
241, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
242, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
243, True, Top, -1.72045511, -0.03026284, -1.64746067, Cone1M, -0.017163, -0.039151, 0.055, Policy
244, True, Top, -1.68723578, -0.13388578, -1.55329123, Cone1S, -0.008758, 0.020589, 0.05, Policy
245, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
246, True, Top, -1.6517213, -0.08127987, -1.75392329, CylinderB, 0.027501, -0.014038, 0.06, Policy
247, True, Normal, 0.05027359, -0.07981766, -0.20688279, Cube45S, 0.002251, 0.025518, 0.0654, Policy
248, True, Top, -1.79157771, -0.12063802, -1.72963236, CylinderS, 0.035511, 0.034911, 0.05, Policy
249, True, Normal, -0.15950549, -0.05316116, -0.08944506, Cube45B, 0.030451, 0.013423, 0.0654, Policy
250, True, Top, -1.68633124, -0.03078558, -1.61965013, CubeB, -0.010384, 0.04381, 0.06, Policy
251, True, Top, -1.53589347, 0.01484839, -1.74197383, CubeS, 0.014667, -0.074039, 0.05, Policy
252, True, Top, -1.72766478, -0.1175301, -1.66399535, Cone1B, -0.030079, -0.039256, 0.06, Policy
