obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,controller_a_success,difficulty
"[-0.004554030696950019, 0.017071143201230193, 0.05493772916768055]","[0.03247908685856536, 0.04931087044578845, -0.015529525393602875]","[-1.62207504, -0.16231227, -1.67421916]",CylinderM,normal,True,True,easy
"[-0.00830080607358685, 0.002275308957895016, 0.054980000121842634]","[0.017903527095836477, 0.0668413204049607, -0.013044412593230728]","[-1.58309749, -0.05593248, -1.54648691]",CylinderM,normal,True,True,easy
"[0.014277970462226595, 0.022729423267459047, 0.054980000121842634]","[-0.015446634421552585, 0.0437322601624562, -0.03426754753636235]","[-1.71353139, 0.02781433, -1.66374688]",CylinderM,normal,True,True,easy
"[0.014531450067900329, -0.001251024025489462, 0.054980000121842634]","[0.019397620446286776, 0.06370232929370685, -0.05121431701963494]","[-1.81477107, -0.13954027, -1.75436753]",CylinderM,normal,True,True,easy
"[-0.0034663702916279786, 0.0012094044966924683, 0.054980000121842634]","[0.028292629747196506, 0.06566073650712252, -0.020724427920937434]","[-1.60780925, -0.15335556, -1.44558635]",CylinderM,normal,True,True,easy
"[0.007425367255590513, -0.004747624925848239, 0.054980000121842634]","[0.005717554955237271, 0.07187462568810525, -0.034414059455817346]","[-1.70411713, -0.04181444, -1.73034292]",CylinderM,normal,True,True,easy
"[-0.016057231531736403, -0.0054586370664154405, 0.054980000121842634]","[0.029651698068680708, 0.07404348044001999, -0.003176673358209536]","[-1.54845559, -0.07082241, -1.6760561]",CylinderM,normal,True,True,easy
"[-0.011989279846693037, -0.000944181698045444, 0.054980000121842634]","[0.018597706452483147, 0.06805110015086914, -0.030741619489721466]","[-1.70318427, 0.00572535, -1.80458376]",CylinderM,normal,True,True,easy
"[-0.0029624980724211013, -0.007077299382322013, 0.054980000121842634]","[0.01762719922806565, 0.06879232007792234, -0.05327153897721271]","[-1.80361341, -0.08128278, -1.57248645]",CylinderM,normal,True,True,easy
"[-0.003140912951996918, 0.019071468010723083, 0.054980000121842634]","[0.03083231392468001, 0.04336751192425979, -0.03929642278972165]","[-1.77007975, -0.15359224, -1.66685092]",CylinderM,normal,True,True,easy
"[0.0434350175580448, 0.014421218230380244, 0.054980000121842634]","[-0.03242874904173322, 0.058358725236879946, -0.003902049748642263]","[-1.51688597, -0.0646342, -1.64513528]",CylinderM,normal,True,True,easy
"[-0.04217017212657821, 0.013978425159068752, 0.05496095415905016]","[0.04474260208185182, 0.05298808284972944, -0.029722799596142168]","[-1.72320069, 0.01153678, -1.70699539]",CylinderM,normal,True,True,easy
"[0.00953653224869221, 0.027243466382317998, 0.054980000121842634]","[0.012770712125046678, 0.03964248089076241, -0.031274865824782436]","[-1.7134934, -0.13507769, -1.6357747]",CylinderM,normal,True,True,easy
"[0.0031998423835807345, 0.018668292127402508, 0.054980000121842634]","[-0.00925081116344892, 0.051391712016490496, -0.003724666298354939]","[-1.52385397, 0.03937335, -1.66499658]",CylinderM,normal,True,True,easy
"[0.028886339834887774, -0.0004188532929218998, 0.054980000121842634]","[-0.013237297058595459, 0.06887491992039999, -0.03636614689657511]","[-1.71267102, -0.08001752, -1.60952162]",CylinderM,normal,True,True,easy
"[0.03164657122355115, -0.007336179286104579, 0.054980000121842634]","[-0.029714012788406477, 0.07195180873521721, -0.04706955150813485]","[-1.76882011, -0.01064689, -1.57073381]",CylinderM,normal,True,True,easy
"[0.016276976412289167, 0.017351060756745813, 0.054980000121842634]","[-0.016627691398727912, 0.05089158882311993, -0.025799424804897796]","[-1.65592394, 0.01607223, -1.66021706]",CylinderM,normal,True,True,easy
"[-0.0011500772333997815, 0.03305034863843247, 0.054980000121842634]","[-0.0017859118530343483, 0.036405935597712005, -0.016315993717871725]","[-1.6108496, 0.02124786, -1.58153046]",CylinderM,normal,True,True,easy
"[0.027785313567670437, 0.010277707114767927, 0.054980000121842634]","[-0.01674312088943583, 0.05897525254273573, -0.0292111054350136]","[-1.67481937, -0.05384848, -1.63981539]",CylinderM,normal,True,True,easy
"[0.0464636775094742, 0.009417543700360166, 0.05498000006092132]","[-0.013292142251363291, 0.0643399623127032, -0.028190789609872573]","[-1.674135, -0.19009783, -1.58779199]",CylinderM,normal,True,True,easy
"[-0.047103441413402086, 0.009254678286453788, 0.054980000121842634]","[0.042366499120199956, 0.06192903601114193, -0.011258854563699499]","[-1.61471907, 0.04145405, -1.73185423]",CylinderM,normal,True,True,easy
"[0.03660546299964468, 0.006439303590451322, 0.054980000121842634]","[0.010066882393911354, 0.06423366891593792, -0.03336372509185913]","[-1.70760146, -0.25551227, -1.64164357]",CylinderM,normal,True,True,easy
"[0.005566343832855609, 0.030993748261036375, 0.054980000121842634]","[0.019651707274606776, 0.03559013347722323, -0.02756350982185045]","[-1.69652812, -0.15708157, -1.64949978]",CylinderM,normal,True,True,easy
"[-0.02033280000888279, 0.00955558150176526, 0.054980000121842634]","[0.03982218153791716, 0.05474995461066298, -0.029067942208024555]","[-1.67389844, -0.12176145, -1.54193633]",CylinderM,normal,True,True,easy
"[-0.06060501153768151, 7.026587365896358e-05, 0.054980000121842634]","[0.04475223970142965, 0.07218729908317464, -0.031004485775492807]","[-1.69804045, 0.09694966, -1.62002266]",CylinderM,normal,False,True,med
