obj_coords,local_obj_coords,hov,shape,hand_orientation,naive_success,position-dependent_success,policy_success,difficulty
"[0.03825813334121874, 0.011810543367118034, 0.054980000121842634]","[-0.038954600085344016, 0.05571841244803743, -0.029663131907680038]",[-1.66049336  0.02151273 -1.67515242],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.02203915657625175, 0.005610460227688865, 0.054980000121842634]","[-0.007330530723678844, 0.06225192216976789, -0.03579875738320049]",[-1.71382958 -0.07061706 -1.64345637],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.05597081909751864, 0.006120061908786372, 0.054980000121842634]","[-0.022461960132804708, 0.07154802511232078, 0.003364042704941249]",[-1.49021419 -0.1880683  -1.58176753],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[-0.015587070908265954, -0.006924174355490727, 0.054980000121842634]","[0.014222801653886428, 0.07490226521649047, -0.030017401059499474]",[-1.66987694 -0.004646   -1.49530133],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.005405039858374806, 0.014670920193664581, 0.054980000121842634]","[0.038418105366557105, 0.05110881016754358, -0.006284580286985218]",[-1.54781347 -0.20111764 -1.57947735],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.039718848152081626, -0.0048006369488093415, 0.054980000121842634]","[0.04527390269592564, 0.07116806477397253, -0.031078042946879623]",[-1.71847252 -0.00220306 -1.72088197],CylinderM,normal,FALSE,FALSE,FALSE,hard
"[0.025146570141603312, 0.013391235643294561, 0.054980000121842634]","[0.012910525619429097, 0.0576457859285082, -0.015086932639155948]",[-1.60425396 -0.22032773 -1.64371817],CylinderM,normal,TRUE,TRUE,TRUE,easy
"[0.05479932015899647, 0.0093436837606619, 0.054980000121842634]","[-0.01904982024130615, 0.059908945820173226, -0.05480122844226507]",[-1.80961389 -0.15706593 -1.75120518],CylinderM,normal,TRUE,TRUE,FALSE,med
"[0.029280903704604615, 0.008110403969079628, 0.054980000121842634]","[4.945055092026723e-05, 0.06389850466035983, -0.01647084012507969]",[-1.60388415 -0.14918541 -1.78621745],CylinderM,normal,TRUE,TRUE,FALSE,med
"[-0.0035603971774823724, 0.02396873880749142, 0.054980000121842634]","[0.024016346451023064, 0.04358106627909932, -0.01740914927750329]",[-1.63409194 -0.11713534 -1.6958465 ],CylinderM,normal,TRUE,TRUE,FALSE,med
